decision,notes,group,landing,keyword,dataforseo_volume,dataforseo_cpc,dataforseo_competition,seo_type,seo_source,dataforseo_seed,dataforseo_source,recommended_match_types
review,,Mamparas ducha,/fontanero/mamparas-ducha,reparacion de mamparas de ducha,40,1.27,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,reparar mampara ducha,40,1,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,arreglar mampara ducha,30,1.52,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,sustituir mampara de ducha,30,0.17,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Mamparas ducha,/fontanero/mamparas-ducha,poner una mampara de ducha,20,,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,instalar plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-04-instalar-plato-de-ducha.json,EXACT + PHRASE
review,,Mantenimiento fontaneria,/fontanero/mantenimiento,inspección tuberías,110,0.36,LOW,keywordTags,data/fontanero/child-services-seo.ts,inspeccion tuberias camara,.tmp\keyword-providers\dataforseo\2026-06-15-14-45-01-inspeccion-tuberias-camara.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,cisterna pierde agua,1900,0.29,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,cambiar mecanismo cisterna,260,0.06,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar mecanismo cisterna,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-37-cambiar-mecanismo-cisterna.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,arreglar cisterna,210,1.4,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,cisterna gotea,210,0.02,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,cisterna no carga agua,170,0.37,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cisterna no carga agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-29-cisterna-no-carga-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,reparar cisterna roca,140,0.22,LOW,secondaryKw,data/fontanero/child-services-seo.ts,reparar inodoro,.tmp\keyword-providers\dataforseo\2026-06-14-19-36-18-reparar-inodoro.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,cisterna empotrada pierde agua,110,4.16,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,reparar cisterna que pierde agua,20,4.3,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,reparar cisterna wc pierde agua,10,,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion cisternas,/fontanero/reparacion-cisternas,reparar wc pierde agua,10,,LOW,seoBlockKw,data/fontanero/child-services-seo.ts,cisterna pierde agua,.tmp\keyword-providers\dataforseo\2026-06-14-19-35-20-cisterna-pierde-agua.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambiar ducha,170,5.53,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,reforma ducha,140,4.01,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambiar manguera ducha,90,0.08,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cambiar grifo ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-51-cambiar-grifo-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambio de ducha,70,4.77,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,reformas de duchas,70,5.67,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambiar columna de ducha,50,0.19,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar grifo ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-51-cambiar-grifo-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambiar desague ducha,50,0.07,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,ducha gotea,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,ducha goteando,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,goteo ducha,40,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,reformas duchas baños,40,5.39,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambiar flexo ducha,30,,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,cambiar grifo ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-51-cambiar-grifo-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambio de ducha precio,30,3.55,HIGH,seoBlockKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,arreglar ducha que gotea,20,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,reparar ducha que gotea,10,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,reparar grifo banera,10,,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparar ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-34-21-reparar-ducha.json,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,reparar grifo de ducha que gotea,10,,,secondaryKw,data/fontanero/child-services-seo.ts,grifo gotea,.tmp\keyword-providers\dataforseo\2026-06-14-19-42-24-grifo-gotea.json,EXACT + PHRASE
review,,Reparacion fugas,/fontanero/reparacion-fugas,precio detectar fuga de agua,260,1.62,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,precio detectar fuga de agua,.tmp\keyword-providers\dataforseo\2026-06-18-18-04-19-precio-detectar-fuga-de-agua.json,EXACT + PHRASE
review,,Sustitucion tuberias,/fontanero/sustitucion-tuberias,presupuesto cambiar tuberias casa,10,,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,precio cambiar tuberias casa,.tmp\keyword-providers\dataforseo\2026-06-18-18-06-20-precio-cambiar-tuberias-casa.json,EXACT + PHRASE
